,Descricao,Preco
70,"Smartphone Motorola Moto G9 Plus Ouro Rosê 128GB, 4GB RAM, Tela de 6.8”, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.899,00"
71,"Smartphone LG K22 Titan 32GB, Tela de 6.2”, Câmera Traseira Dupla, Android 10, Inteligência Artificial e Processador Quad-Core","R$ 699,00"
72,"Smartphone Samsung Galaxy A12 Vermelho 64GB, Tela Infinita de 6.5"", Câmera Quádrupla, Bateria 5000mAh, 4GB RAM e Processador Octa-Core","R$ 1.349,00"
73,"Smartphone Samsung Galaxy M21s 64GB, 4GB RAM, Tela Infinita de 6.4”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core - Azul","R$ 1.399,00"
74,"Smartphone Samsung Galaxy A21s Preto 64GB, Câmera Quádrupla,Tela Infinita de 6.5"", Leitor de Digital, 4GB RAM, Carregamento Rápido e Android 10","R$ 1.499,00"
75,"Smartphone Samsung Galaxy A01 Core Vermelho 32GB, Tela Infinita de 5.3”, Câmera Traseira 8MP, Android GO 10.0, Dual Chip e Processador Quad-Core","R$ 749,00"
76,"Smartphone LG K52 Vermelho 64GB, Tela de 6.59”, Câmera Traseira Quádrupla, Android 10, Inteligência Artificial e Processador Octa-Core","R$ 999,00"
77,"Smartphone LG K22+ Titan 64GB, Tela de 6.2”, Câmera Traseira Dupla, Android 10, Inteligência Artificial e Processador Quad-Core","R$ 799,00"
78,"Smartphone Samsung Galaxy S20 FE Cloud Mint 128GB, 6GB RAM, Tela Infinita de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 2.499,00"
79,"Smartphone Samsung Galaxy M31 Preto 128GB, 6GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital, Octa Core e Android 10.0","R$ 1.749,00"
80,"Smartphone Samsung Galaxy A02s Preto 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core","R$ 999,00"
81,"Smartphone Samsung Galaxy A02s Azul 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core","R$ 999,00"
82,"Smartphone Motorola Moto E7 Plus Bronze Âmbar 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 1.079,00"
83,"Smartphone Samsung Galaxy A51 Cinza 128GB, Tela Infinita de 6.5"", Câmera Traseira Quádrupla, Leitor Digital na Tela, Android e Processador Octa-Core","R$ 2.299,00"
84,Celular LG GM750 Wifi Windows Mobile Câmera 5MP,"R$ 109,99"
85,"Smartphone Motorola Moto G8 Power Lite Aqua 64GB, 4 GB RAM, Tela de 6.5” HD+, Câmera Traseira Tripla, Android 9 e Processador Octa-Core","R$ 1.179,00"
86,"Smartphone Xiaomi Redmi Note 9S Cinza 128GB, Tela de 6,67"", 6GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Qualcomm Octa-Core","R$ 1.899,00"
87,"Smartphone Motorola Moto G 5G Plus Azul Oceano 128GB, 8GB RAM, Tela 6,7”, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 2.499,00"
88,"Smartphone Xiaomi Redmi 9A Azul 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core","R$ 919,00"
89,"Smartphone Motorola Moto G9 Play 64GB 4GB RAM Câmera Tripla 48MP Tela 6.5"" - Verde Turquesa","R$ 1.199,90"
90,"Smartphone Samsung Galaxy M31 Rosa 128GB, 6GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital, Octa Core e Android 10.0","R$ 1.749,00"
91,"Smartphone Samsung Galaxy A12 Preto 64GB, Tela Infinita de 6.5"", Câmera Quádrupla, Bateria 5000mAh, 4GB RAM e Processador Octa-Core","R$ 1.349,00"
92,"Smartphone Samsung Galaxy A01 Core Azul 32GB, Tela Infinita de 5.3”, Câmera Traseira 8MP, Android GO 10.0, Dual Chip e Processador Quad-Core","R$ 749,00"
93,"Smartphone Samsung Galaxy A02s Vermelho 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core","R$ 999,00"
94,"Smartphone Samsung Galaxy S20 Cinza 128GB, 8GB RAM, Tela Infinita de 6.2"", Câmera Tripla Traseira, Câmera Frontal 10MP, IP68 e Leitor de Digital","R$ 3.999,00"
95,"Smartphone Samsung Galaxy S10 Azul 128GB, 8GB RAM, Tela Infinita de 6.1"", Câmera Traseira Tripla, Dual Chip, PowerShare, Leitor Digital, Android 9.0","R$ 3.999,00"
96,"Smartphone Samsung Galaxy S20 FE Cloud Lavender 128GB, 6GB RAM, Tela Infinita de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 2.499,00"
97,"Smartphone LG K41S Titânio 32GB, RAM de 3GB, Tela de 6,55"" V- Notch HD+ 20:9, Inteligência Artificial, Câmera Quádrupla e Processador Octa-Core 2.0","R$ 887,78"
98,"Smartphone Motorola Moto e6s Cinza Titanium 32GB, Tela Max Vision de 6.1"", Câmera Traseira Dupla, Android 9.0, Processador Octa-Core e 2GB de RAM","R$ 889,00"
99,"Smartphone LG K22 Vermelho 32GB, Tela de 6.2”, Câmera Traseira Dupla, Android 10, Inteligência Artificial e Processador Quad-Core","R$ 699,00"
