,Descricao,Preco
88,Smartphone Motorola Moto E7 Plus Bronze Âmbar 64GB 4GB RAM Tela de 65” Câmera Traseira Dupla Android 10 e Processador OctaCore,1099.0
89,Smartphone Xiaomi Redmi Note 9S Cinza 128GB Tela de 667 6GB de RAM Câmera Traseira Quádrupla Android 10 e Processador Qualcomm OctaCore,2199.0
90,Smartphone Samsung Galaxy A01 Core Azul 32GB Tela Infinita de 53” Câmera Traseira 8MP Android GO 100 Dual Chip e Processador QuadCore,699.0
91,Smartphone Xiaomi Redmi Note 10 Branco 128GB 4GB RAM Tela de 643” Câmera Traseira Quádrupla Android 11 e Processador Octa Core,1739.0
92,Smartphone Samsung Galaxy S20 FE Cloud Lavender 128GB 6GB RAM Tela Infinita de 65” Câmera Traseira Tripla Android 10 e Processador OctaCore,3099.0
93,Smartphone Samsung Galaxy A02s Azul 32GB Tela Infinita de 65 Câmera Tripla bateria 5000mAh 3GB RAM e Processador OctaCore,849.0
94,Smartphone Xiaomi Redmi 9A Azul 32GB Tela de 653 2GB de RAM Câmera Traseira 13MP Android 10 e Processador OctaCore,899.0
95,Smartphone Motorola Moto G 5G Plus Azul Oceano 128GB 8GB RAM Tela 67” Câmera Traseira Quádrupla Android 10 e Processador OctaCore,2499.0
96,Smartphone LG K41S Titânio 32GB RAM de 3GB Tela de 655 V Notch HD 209 Inteligência Artificial Câmera Quádrupla e Processador OctaCore 20,849.0
97,Smartphone Samsung Galaxy A02 Azul 32GB Tela Infinita de 65 Câmera Traseira Dupla Android 100 Dual Chip e Processador QuadCore,749.0
98,Smartphone Samsung Galaxy A51 Cinza 128GB Tela Infinita de 65 Câmera Traseira Quádrupla Leitor Digital na Tela Android e Processador OctaCore,2299.0
99,Smartphone Xiaomi Redmi Note 9 Cinza 128GB Tela de 653 4GB de RAM Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1399.0
100,Smartphone Multilaser E Lite 32GB 512MB RAM Tela 4 Câmera Traseira 5MP Frontal de 5MP Bateria 1500mAh Preto,376.9
101,Smartphone Motorola Moto e6s Cinza Titanium 32GB Tela Max Vision de 61 Câmera Traseira Dupla Android 90 Processador OctaCore e 2GB de RAM,829.0
102,Smartphone LG K22 Vermelho 32GB Tela de 62” Câmera Traseira Dupla Android 10 Inteligência Artificial e Processador QuadCore,699.0
103,Smartphone Samsung A32 128GB 4G Tela 64 Câmera Quádrupla 64MP Selfie 20MP Dual Chip Android 110,1599.0
104,Smartphone Samsung Galaxy A32 128GB 4GB RAM 64  Violeta,1599.0
105,Smartphone Xi Ao Mi  A3 128gb Dual 4gb Ram Versão Global,1798.0
106,Smartphone Xiaomí Redmí 9A 32GB Tela de 653 2GB RAM Câmera Traseira 13MP Android 10 OctaCore  Verde,877.95
107,Smartphone Xiaomí Redmí 9A 32GB Tela de 653 2GB RAM Câmera Traseira 13MP Android 10 OctaCore  Azul,876.98
108,Smartphone Motorola One Hyper 128GB 4G Tela 65`` Dual Chip 4GB RAM Câmera Dupla  Selfie 32MP Azul Oceano,1999.0
